Gene,Coordinates
PLK1,16:23678889-23690367
FRAXA,X:147911979-147912111
INSR,19:7112257-7294414
PROM1,4:15968226-16084059
SMAD4,18:51030213-51085042
OGG1,3:9749952-9788246
TNFRSF1A,12:6328771-6342076
TNFSF11,13:42562736-42608013
BMP2,20:6767686-6780246
PCSK9,1:55039548-55064852
CXCL10,4:76021118-76023497
CDK1,10:60778331-60794852
TLR3,4:186069156-186088073
AHR,7:17298652-17346147
MIR34A,1:9151668-9151777
APEX1,14:20455226-20457767
RAD51,15:40694774-40732340
POU5F1,6:31164337-31170682
BSG,19:571283-583493
TP73,1:3652516-3736201
SMAD3,15:67065602-67195195
C3,19:6677704-6720650
TWIST1,7:19113047-19117636
FGFR3,4:1793293-1808872
FASLG,1:172659103-172666876
KCNQ1,11:2445008-2849110
SOX2,3:181711925-181714436
PLAUR,19:43646095-43670197
HLA-DQA1,6:32637406-32654846
NAMPT,7:106248298-106284983
PTPN22,1:113813811-113871761
TIMP1,X:47582408-47586789
DMD,X:31119219-33339460
FGFR1,8:38411143-38468635
CYP2E1,10:133527363-133539123
CREBBP,16:3725054-3880727
IL13,5:132656522-132661110
CCN2,6:131948176-131951372
DPP4,2:161992245-162074215
TYMS,18:657653-673578
CHEK2,22:28687743-28741866
GNAS,20:58839681-58911192
FOXO3,6:108559825-108684774
DNMT1,19:10133346-10194953
NF1,17:31094927-31377677
BCL2L1,20:31664452-31723963
HSPB1,7:76302673-76304292
FOXO1,13:40555667-40666641
CASR,3:122183668-122291629
ADAMTS13,9:133414337-133459403
CDK2,12:55966830-55972789
CYP17A1,10:102830531-102837413
CD40LG,X:136648158-136660390
IL33,9:6214591-6257983
CLU,8:27596917-27614700
CSNK2A1,20:472498-543790
CD40,20:46118242-46129858
PCNA,20:5114953-5126622
MEFV,16:3242027-3256776
MICA,6:31400711-31415315
CALCA,11:14966668-14972361
SQSTM1,5:179806393-179838078
NQO1,16:69709401-69726560
CHI3L1,1:203178931-203186704
PIK3R1,5:68215737-68301821
CYP1B1,2:38067509-38076151
NRG1,8:31639245-32774046
PPARA,22:46150526-46243756
GRB2,17:75318076-75405678
CREB1,2:207529943-207605988
CNR1,6:88139864-88167349
PRKCD,3:53161209-53192717
GRN,17:44345302-44353106
APOBEC3G,22:39077005-39087743
SHH,7:155799980-155812463
GBA,1:155234452-155244627
ACE2,X:15518197-15602158
FOXM1,12:2857680-2877174
RUNX2,6:45328330-45551082
BMI1,10:22321099-22331484
VIM,10:17228241-17237593
P2RX7,12:121132819-121188032
HSPA4,5:133052013-133106449
IL2RA,10:6010689-6062367
MMP14,14:22836585-22847758
MIR145,5:149430646-149430733
IDO1,8:39913891-39928790
KLK3,19:50854915-50860764
XIAP,X:123859708-123913972
FBN1,15:48408313-48645709
IRS1,2:226731312-226799820
CALR,19:12938609-12944489
PTX3,3:157436850-157443633
PLAU,10:73909182-73917497
HAMP,19:35282528-35285143
KMT2A,11:118436492-118526832
CD36,7:80602207-80679277
LPA,6:160531482-160664275
DICER1,14:95086228-95158263
RASSF1,3:50329786-50340836
F7,13:113105773-113120685
GDF15,19:18382170-18389176
ENG,9:127815012-127854773
IL12B,5:159314780-159330487
VCAM1,1:100719742-100739045
CDC42,1:22052709-22101360
TGM2,20:38127385-38166508
FCGR2A,1:161505430-161524048
BECN1,17:42810132-42824282
THBS1,15:39581079-39599466
TNFSF13B,13:108268240-108308484
TNNT2,1:201359014-201377828
FLG,1:152302165-152325239
CBL,11:119206339-119308149
ITGAV,2:186590056-186680901
SNAI1,20:49982980-49988886
S100A9,1:153357854-153361023
MALAT1,11:65497738-65506516
TGFBR2,3:30606472-30694142
PML,15:73994716-74047827
S100B,21:46598604-46605243
NRAS,1:114704469-114716771
HNF4A,20:44355699-44434596
EPO,7:100720468-100723700
STK11,19:1205778-1228431
EPAS1,2:46297407-46386697
APOA5,11:116789367-116792420
HNF1A,12:120977683-121002512
PRKDC,8:47773111-47960136
EZR,6:158765744-158819368
LTA,6:31560550-31574324
DKK1,10:52314281-52317657
PDGFRA,4:54229127-54298245
HP,16:72054505-72061055
RAF1,3:12583601-12664117
G6PD,X:154531390-154547569
ANXA2,15:60347151-60398025
ZEB1,10:31318417-31529804
IL15,4:141636583-141733987
CEBPA,19:33299934-33302564
NFKBIA,14:35401513-35404749
AMH,19:2249323-2252073
GH1,17:63917203-63918839
CYP1A2,15:74748845-74756607
SYK,9:90801600-90898549
ANGPT2,8:6499632-6563245
MC4R,18:60371062-60372775
C9orf72,9:27546546-27573866
OXTR,3:8750381-8769613
ELAVL1,19:7958573-8005641
TNFRSF1B,1:12166948-12209222
PKM,15:72199029-72231389
B2M,15:44711492-44718145
TSHR,14:80954989-81146306
LGALS1,22:37675636-37679802
TOP2A,17:40388525-40417902
NOTCH3,19:15159038-15200995
ITGB2,21:44885949-44928815
PRKACA,19:14091688-14117762
HSPA1A,6:31815543-31817942
CYP21A2,6:32038415-32041644
ATP7B,13:51932669-52012130
KL,13:33016063-33066143
MMP7,11:102520508-102530747
VEGFC,4:176683538-176792922
TRAF6,11:36483769-36510313
GNB3,12:6840922-6847393
DNMT3A,2:25227874-25342590
HPSE,4:83292461-83335153
EGR1,5:138465479-138469303
MYD88,3:38138661-38143022
FCGR3A,1:161541759-161550737
SOCS3,17:78356778-78360925
MYCN,2:15940550-15947004
CHEK1,11:125624910-125676255
SCN1A,2:165984641-166149161
PDGFRB,5:150113839-150155845
ERBB3,12:56080108-56103505
PIN1,19:9835318-9849689
FUS,16:31180110-31194871
HOTAIR,12:53962308-53974956
DDX58,9:32455302-32526196
RBP4,10:93591694-93601744
FYN,6:111660332-111873452
ADM,11:10305073-10307397
PARK7,1:7961711-7985505
H19,11:1995176-2001466
CCR2,3:46354111-46360940
SOX9,17:72121020-72126416
BCL2L11,2:111120914-111168445
VKORC1,16:31090854-31094797
ATR,3:142449235-142578793
TGFBR1,9:99104038-99154192
XRCC3,14:103697611-103715486
HMGA2,12:65824460-65966291
TNFAIP3,6:137866317-137883312
H2AX,11:119093874-119095465
PRKAA1,5:40759379-40798195
TRPV1,17:3565446-3609411
PROC,2:127418143-127429246
PLG,6:160702193-160754097
CDK4,12:57747727-57752310
SELE,1:169722640-169734079
PAK1,11:77322017-77514957
BMP4,14:53949736-53956891
KLF4,9:107484852-107489769
SMAD2,18:47808957-47931188
GATA3,10:8045420-8075198
PAH,12:102836889-102958441
MC1R,16:89918862-89920972
AFP,4:73436221-73456174
CD209,19:7739993-7747534
RUNX3,1:24899511-24965158
NBN,8:89933331-89984698
LRP1,12:57128401-57213377
SELP,1:169588849-169630125
PPIA,7:44795960-44803117
IL6R,1:154405343-154469450
STIM1,11:3854604-4093210
KCNJ11,11:17385246-17389346
TIMP2,17:78852977-78925387
IAPP,12:21354959-21379980
POSTN,13:37562585-37598839
LCK,1:32251265-32286165
ERG,21:38367261-38661783
VCP,9:35056064-35072625
BACE1,11:117285698-117316256
PNPLA3,22:43923805-43947582
PAX6,11:31789026-31817961
HTR1A,5:63957874-63962445
ABCC1,16:15949616-16143062
HDAC2,6:113933028-113971148
ADAM17,2:9488486-9555830
CAMP,3:48223495-48225485
SUMO1,2:202206171-202238597
ADORA2A,22:24423597-24442357
WNT5A,3:55465715-55505261
ROCK1,18:20946906-21111813
FGB,4:154562980-154572807
TNNI3,19:55151767-55157732
IL21,4:122610108-122621066
YBX1,1:42682418-42703805
LTF,3:46435645-46485234
SLCO1B1,12:21131194-21239796
FHIT,3:59747277-61251452
APOC3,11:116829907-116833072
ADRB1,10:114043866-114046904
COL2A1,12:47972967-48006212
SMARCB1,22:23786966-23838009
ALDH1A1,9:72900671-72953053
SHC1,1:154962298-154974492
PINK1,1:20633458-20651511
HSPD1,2:197486584-197500274
SDC1,2:20200797-20225475
MYH9,22:36281280-36387967
DNMT3B,20:32762385-32809356
TPMT,6:18128311-18155169
MIR122,18:58451074-58451158
SMARCA4,19:10960999-11062277
CEBPB,20:50190583-50192690
CALM1,14:90396502-90408268
TSC2,16:2047804-2089491
NCAM1,11:112961420-113278436
ITGA2B,17:44372181-44389649
IFNB1,9:21077104-21077942
CAT,11:34438934-34472060
PGF,14:74941830-74955764
HLA-DPB1,6:33075990-33089696
GC,4:71741693-71805520
ADRB3,8:37962990-37966599
IL23R,1:67138639-67259979
CBS,21:43053190-43076873
EIF4E,4:98879276-98929133
TF,3:133661998-133796641
SPARC,5:151661096-151686915
EPCAM,2:47369311-47387020
UCP2,11:73974671-73983202
PLA2G7,6:46700558-46735836
F2R,5:76716126-76735770
DRD3,3:114127580-114199407
FSHR,2:48953161-49154527
F2RL1,5:76819030-76835315
AURKB,17:8204731-8210767
AHSG,3:186613060-186621318
CACNA1C,12:1969552-2697950
FGA,4:154583126-154590742
SKP2,5:36152067-36184319
KLRK1,12:10372353-10390041
AVP,20:3082556-3093521
CYP11B2,8:142910559-142917843
BCR,22:23180509-23318037
CA9,9:35673809-35681159
SLC4A1,17:44248390-44268161
SHBG,17:7614064-7633372
FLNA,X:154348531-154374634
CD34,1:207880972-207911125
IL22,12:68248242-68253604
GHR,5:42423439-42721878
IKBKB,8:42270727-42332460
GLI1,12:57459785-57472451
HAVCR2,5:157085832-157109044
SOCS1,16:11254417-11256204
HSPA8,11:123057489-123062366
OLR1,12:10158301-10172132
IL4R,16:27313668-27364778
PTH,11:13492054-13496181
POLG,15:89316320-89334824
SERPINF1,17:1762060-1777565
TXN,9:110243810-110256507
PLAT,8:42174718-42207565
CCNE1,19:29811991-29824312
CDX2,13:27960918-27969337
S100A4,1:153543621-153545806
F13A1,6:6144084-6320662
RXRA,9:134326455-134440585
NOS1,12:117208142-117361626
SLC26A4,7:107660828-107717809
GCK,7:44143213-44189439
ADH1B,4:99304971-99321401
XPO1,2:61477849-61538522
XPC,3:14145145-14178601
FGF21,19:48755524-48758330
EIF2AK2,2:37099210-37157065
BCL6,3:187721377-187745472
ITGA2,5:52989352-53094779
FOS,14:75278828-75282230
NGF,1:115285915-115338253
FBXW7,4:152320544-152536873
NR1I2,3:119782101-119818487
YWHAZ,8:100916523-100954068
CYP2B6,19:40991282-41018398
ETS1,11:128458765-128587593
GCG,2:162142882-162152247
MME,3:155024202-155183729
RYR1,19:38433691-38587564
SREBF1,17:17811334-17837017
TFRC,3:196018694-196082123
AQP4,18:26852038-26865803
FKBP5,6:35573590-35728583
MUC16,19:8848840-9010390
NPY,7:24284190-24291862
PTPN6,12:6946577-6961316
CFLAR,2:201116164-201176687
CYBB,X:37780059-37813461
CYP2A6,19:40843541-40850447
SOST,17:43753738-43758791
HSF1,8:144291603-144314720
TTN,2:178525989-178807423
MIR126,9:136670602-136670686
CYBA,16:88643289-88651079
CASP9,1:15491401-15524912
IRF3,19:49659572-49665857
SCARB1,12:124776856-124863864
NME1,17:51153559-51162168
UBE2I,16:1309152-1327017
CRYAB,11:111908564-111923740
NTRK1,1:156815750-156881850
CCNB1,5:69167150-69178245
PTPN1,20:50510383-50585241
LOC109504728,9:27573485-27573546
PIK3CG,7:106865282-106908980
CHRNA7,15:32030462-32173018
IL12A,3:159988835-159996019
GPX1,3:49357176-49358353
TGFBI,5:136028988-136063818
AQP1,7:30911853-30925516
ABCA4,1:93992834-94121148
THBD,20:23045633-23049672
MEN1,11:64803514-64811294
CD28,2:203706509-203739756
MUTYH,1:45329242-45340447
IDH2,15:90083045-90102468
XRCC6,22:41621295-41664041
ITGA5,12:54395261-54419266
ACTB,7:5527148-5530601
ADAR,1:154582057-154627997
F9,X:139530720-139563459
PRL,6:22287246-22302897
IKBKG,X:154541238-154565046
COL1A2,7:94394895-94431227
ZAP70,2:97712030-97744327
CDKN2B,9:22002903-22009313
SERPINC1,1:173903800-173917327
WRN,8:31033749-31176138
EPHX1,1:225810124-225845563
TOP1,20:41028822-41124487
L1CAM,X:153861514-153886173
NKX2-1,14:36516397-36520232
NF2,22:29603556-29698600
MTDH,8:97643972-97730260
NGFR,17:49495293-49515008
YY1,14:100239144-100282788
ANXA1,9:73151865-73170393
PRKCB,16:23835983-24220611
NOX4,11:89324353-89589557
RARA,17:40309180-40357643
ERBB4,2:211375717-212538802
MTR,1:236794304-236903981
GP1BA,17:4932277-4935023
ORAI1,12:121626550-121642040
SMN1,5:70924941-70953015
BST2,19:17402939-17405630
EPHA2,1:16124337-16156104
NRP1,10:33177493-33334667
MAP2K1,15:66386912-66491544
PPARD,6:35342558-35428180
HBA2,16:172876-173710
BTK,X:101349450-101390796
MSH6,2:47783145-47806954
FASN,17:82078338-82098303
AXL,19:41219223-41261766
TNFRSF10B,8:23020133-23069031
RPS6KB1,17:59893121-59950574
GAPDH,12:6534517-6538371
FNDC5,1:32862268-32872484
PKD1,16:2088708-2135898
MYH7,14:23412740-23435677
MIR221,X:45746157-45746266
CHGA,14:92922594-92935293
PTPRC,1:198639025-198757476
ELN,7:74027772-74069907
ABCC2,10:99782602-99853741
NTRK2,9:84668458-85027070
CTSB,8:11842524-11868087
IL7R,5:35856891-35879603
FGG,4:154604136-154612656
TET2,4:105145875-105279803
PECAM1,17:64319415-64413844
NCL,2:231453531-231464484
XRCC5,2:216109348-216206293
MUC5AC,11:1157953-1201138
F10,13:113122799-113149529
UCHL1,4:41256928-41268455
HDAC6,X:48801398-48824982
KDM1A,1:23019443-23083691
ABO,9:133250401-133275201
LOC110806263,5:1294628-1298988
TSLP,5:111070062-111078026
TPH2,12:71938845-72032440
PDGFB,22:39223359-39244982
CD24,6:106969831-106976855
CHUK,10:100188300-100229610
MITF,3:69739464-69968332
BAP1,3:52401004-52410030
CXCR2,2:218125294-218137253
FABP4,8:81478419-81483233
KEAP1,19:10486125-10503356
S100A8,1:153390032-153422583
NES,1:156668763-156677407
CDH2,18:27932878-28177130
IKZF1,7:50303453-50405101
TLR7,X:12867072-12890361
KISS1,1:204190341-204196491
BGLAP,1:156242184-156243317
CTSD,11:1752755-1763927
MMP13,11:102942995-102955732
NCOA3,20:47501887-47656872
SAA1,11:18266264-18269967
ELANE,19:850997-856250
CX3CL1,16:57372490-57385044
TIMP3,22:32801705-32863041
ALOX5,10:45374209-45446121
MYOC,1:171635417-171652688
CD163,12:7470811-7503808
CD38,4:15778328-15853232
PTCH1,9:95442980-95516971
ADAM10,15:58588809-58749707
CX3CR1,3:39263494-39281735
GZMB,14:24630954-24634190
CTCF,16:67562526-67639185
TNC,9:115019575-115118244
STAT6,12:57095408-57111413
GPER1,7:1087118-1093810
POMC,2:25160860-25168580
STAT5A,17:42287547-42311943
IFNA1,9:21440439-21441316
IRF1,5:132481609-132490789
MYB,6:135181308-135219172
SNAI2,8:48917598-48921429
OPA1,3:193593149-193697811
MIR29A,7:130876747-130876810
POLR2A,17:7484366-7514616
ALPL,1:21508984-21578412
ITGAM,16:31259975-31332877
AGO2,8:140520156-140642406
GLP1R,6:39048781-39091303
ILK,11:6603748-6610873
IGFBP1,7:45888488-45893660
PAPPA,9:116153752-116402321
GLA,X:101397803-101407925
PLCG1,20:41137519-41177626
MIR27A,19:13836440-13836517
NPPA,1:11845709-11847783
DISC1,1:231626790-232041272
STMN1,1:25884179-25906880
IL27,16:28499362-28526730
CDK5,7:151053815-151057897
BCHE,3:165772904-165837423
SERPINB5,18:63476958-63505085
BRD4,19:15235519-15332539
HLA-E,6:30489508-30494194
BMPR2,2:202376310-202567751
IL23A,12:56334159-56340410
STUB1,16:680410-682801
GFAP,17:44903159-44915552
CEACAM5,19:41708626-41730433
CACNA1A,19:13206442-13506479
CEACAM1,19:42507306-42528482
GRIN2B,12:13537337-13982012
PDPN,1:13583757-13617957
TGFB2,1:218345336-218444619
SPHK1,17:76383204-76387855
DEFB4A,8:7894677-7896716
HSD11B1,1:209686179-209734929
JAG1,20:10637684-10673999
LIPC,15:58410457-58569844
APOH,17:66212033-66229415
TRAF2,9:136881933-136926615
CRHR1,17:45784320-45835828
IL7,8:78675870-78806830
CDK9,9:127786034-127790792
GJB1,X:71215239-71225516
WWOX,16:78099654-79212667
LYN,8:55876041-56014169
MIR200C,12:6963699-6963766
APLN,X:129645259-129654956
ANGPT1,8:107249482-107497918
KRT19,17:41523617-41528308
CCR7,17:40553769-40565472
HNF1B,17:37686431-37745059
ID1,20:31605289-31606510
MTRR,5:7851186-7901124
RIPK1,6:3063967-3115187
SRD5A2,2:31522480-31665651
HMGA1,6:34236873-34246231
HTR2C,X:114584086-114910061
CXCR3,X:71615913-71618515
ABCC8,11:17392498-17476849
AICDA,12:8602170-8612970
GSN,9:121201483-121332844
NR3C2,4:148078764-148444698
ADA,20:44619522-44651699
HTRA1,10:122461553-122514907
CCN1,1:85580761-85583950
JAK1,1:64833229-65067746
HDAC3,5:141620881-141636849
MIR210,11:568089-568198
LHCGR,2:48686774-48755724
SMAD7,18:48919853-48950965
RACK1,5:181236897-181243906
NANOG,12:7789402-7799146
BMP7,20:57168753-57266641
SFTPD,10:79937740-79982236
RHO,3:129528639-129535344
CPB2,13:46053066-46105033
APOL1,22:36253071-36267531
CR1,1:207496157-207641765
LRP5,11:68298866-68449275
EWSR1,22:29268254-29300523
DNM1L,12:32679296-32745650
MIR143,5:149428918-149429023
IGF2BP3,7:23310209-23470674
THRB,3:24117153-24495708
KRT18,12:52948855-52952906
REN,1:204154819-204166337
PTTG1,5:160421855-160428744
UBE2D1,10:58335006-58370748
PRKCE,2:45651315-46187990
NR1H3,11:47248300-47269033
ARID1A,1:26696015-26782104
ACTA1,1:229431245-229434094
TBP,6:170554369-170572859
CSF2,5:132073789-132076170
MIR203A,14:104117405-104117514
TP53BP1,15:43403061-43510640
COL3A1,2:188974373-189012746
PPP2CA,5:134194332-134226073
SPINK1,5:147824582-147839196
ENPP1,6:131808020-131895155
IRF5,7:128937032-128950038
PTHLH,12:27958084-27972864
PRKCZ,1:2050411-2185395
WWTR1,3:149517235-149724788
MIR223,X:66018870-66018979
CDKN2B-AS1,9:21994791-22121097
GATA4,8:11676931-11760002
DRD1,5:175440036-175444182
TNFRSF8,1:12063303-12144213
GPC3,X:133535745-133985616
TFPI,2:187464230-187554501
GGT1,22:24583750-24628996
LOC107980440,9:130710129-130854140
XBP1,22:28794560-28800569
NDRG1,8:133237175-133297252
TRPV4,12:109783087-109833398
INHBA,7:41685101-41710532
MYBPC3,11:47331406-47352702
SLC19A1,21:45502517-45563140
GATA1,X:48786590-48794311
PEBP1,12:118136124-118145584
CLOCK,4:55427903-55547138
GNAQ,9:77716097-78031811
MAP3K7,6:90513579-90587072
CUL1,7:148697756-148801110
F11,4:186265964-186290727
SIRT3,11:215030-236931
BTRC,10:101353808-101557313
CDK6,7:92604921-92836573
AKT2,19:40230317-40285531
TBK1,12:64452105-64502114
DPYD,1:97077743-97921059
AIFM1,X:130129362-130165841
RPA1,17:1830005-1900082
SAMHD1,20:36889773-36951708
PTGS1,9:122369906-122395703
KAT2B,3:20040407-20154404
AIRE,21:44285876-44298648
FOXA1,14:37589552-37595249
MFN2,1:11980215-12013508
IFIH1,2:162267074-162318684
A2M,12:9067708-9116229
MTA1,14:105419827-105470729
CTTN,11:70398529-70436579
EPOR,19:11377207-11384314
IGFBP2,2:216632828-216664436
ATRX,X:77504880-77786235
NR5A1,9:124481236-124507399
BLM,15:90717346-90816166
BAK1,6:33572552-33580296
MIR17,13:91350605-91350688
TH,11:2163929-2174081
PTK2B,8:27311478-27459391
STAT5B,17:42199177-42288437
NR1H4,12:100473866-100564414
PIM1,6:37170152-37175428
WFDC2,20:45469753-45481532
CSF1,1:109910506-109930992
POLB,8:42338452-42371810
TEK,9:27109141-27230178
PMP22,17:15229779-15265326
STAT4,2:191029576-191172684
ETV6,12:11649601-11895386
COL7A1,3:48564073-48595329
CNR2,1:23870515-23913362
CLDN1,3:190305707-190322446
SLC9A1,1:27098809-27155125
TREM2,6:41158508-41163116
PLA2G2A,1:19975431-19980434
THY1,11:119415476-119424985
PXN,12:120210447-120265737
PDCD4,10:110871928-110900006
RAN,12:130871879-130877678
FURIN,15:90868588-90883457
FADD,11:70203296-70207390
ANXA5,4:121667946-121696994
IL1RL1,2:102311529-102352367
CD81,11:2376180-2397402
KPNA2,17:68035735-68046854
PROS1,3:93873051-93973896
ERCC5,13:102846032-102875995
GCH1,14:54842016-54902826
ARRB2,17:4710619-4721500
