Gene,Coordinates
LINC01714,1:8268732-8275270
RNU6-991P,1:8352217-8352323
SLC45A1,1:8378174-8404225
RERE,1:8412464-8877699
RERE-AS1,1:8484705-8495076
SNORD128,1:8554860-8554973
RPL7P11,1:8810469-8811150
RPL7P7,1:8846188-8847010
RPL27P3,1:8858497-8859616
RPL23AP19,1:8891172-8891491
ENO1,1:8921059-8938745
MIR6728,1:8926561-8926649
ENO1-AS1,1:8938894-8939944
RNU6-304P,1:8943486-8943592
HMGN2P17,1:8953470-8954662
CA6,1:9005927-9035151
RN7SL451P,1:9039635-9039933
SLC2A7,1:9063032-9086482
SLC2A5,1:9095165-9132318
GPR157,1:9160364-9189161
MIR34AHG,1:9208070-9242397
MIR34A,1:9211727-9211836
LNCTAM34A,1:9242263-9252145
H6PD,1:9294833-9331396
SPSB1,1:9352953-9429591
LINC02606,1:9485153-9489055
RNA5SP40,1:9497728-9497837
SLC25A33,1:9599524-9645231
RPL9P11,1:9636463-9637139
TMEM201,1:9648969-9674935
PIK3CD,1:9711789-9789172
PIK3CD-AS1,1:9712668-9714644
RPL26P7,1:9722346-9722686
PIK3CD-AS2,1:9732484-9747632
CLSTN1,1:9788984-9884584
MZT1P1,1:9840880-9841498
CTNNBIP1,1:9908334-9970327
LZIC,1:9982176-10003449
NMNAT1,1:10002981-10045556
RN7SKP269,1:10007376-10007620
TMEM274P,1:10010630-10020845
MIR5697,1:10027439-10027516
RBP7,1:10057286-10076079
UBE4B,1:10093016-10241297
RPL21P21,1:10114470-10114839
PGAM1P11,1:10118731-10119712
RNU6-828P,1:10223326-10223432
KIF1B,1:10270628-10441661
RNU6-37P,1:10359024-10359128
RN7SL731P,1:10366523-10366815
PGD,1:10459121-10480568
CENPS-CORT,1:10490490-10512210
CENPS,1:10490490-10502865
CORT,1:10510088-10512055
DFFA,1:10516579-10532586
PEX14,1:10535007-10690815
RN7SL614P,1:10676893-10677172
CASZ1,1:10696661-10856703
HSPE1P24,1:10955818-10956055
C1orf127,1:11006530-11042094
CFL1P6,1:11049867-11051886
TARDBP,1:11072711-11085549
MASP2,1:11086580-11107296
SRM,1:11114646-11120075
EXOSC10,1:11126675-11159926
EXOSC10-AS1,1:11159732-11162162
MTOR,1:11166592-11322608
MTOR-AS1,1:11203955-11209595
RNU6-537P,1:11212407-11212470
ANGPTL7,1:11249412-11256038
RNU6-291P,1:11286311-11286417
RPL39P6,1:11292967-11293370
UBIAD1,1:11333255-11359631
UBE2V2P3,1:11338471-11339332
MTCYBP45,1:11485314-11485878
DISP3,1:11539212-11597608
LINC01647,1:11669588-11673412
FBXO2,1:11708444-11714486
FBXO44,1:11714464-11723384
FBXO6,1:11724257-11734411
MAD2L2,1:11734537-11751616
DRAXIN,1:11751767-11785914
AGTRAP,1:11796193-11810826
C1orf167,1:11822250-11849642
C1orf167-AS1,1:11837134-11839676
MTHFR,1:11845780-11866021
CLCN6,1:11866248-11903187
NPPA-AS1,1:11900376-11907673
NPPA,1:11905766-11907840
NPPB,1:11917521-11919002
SBF1P2,1:11937826-11940815
RNU5E-1,1:11968211-11968329
RNU5E-4P,1:11969865-11969984
KIAA2013,1:11979648-11986484
PLOD1,1:11994774-12035594
MFN2,1:12040501-12073565
MIIP,1:12079555-12092102
MIR6729,1:12089215-12089279
RN7SL649P,1:12096797-12097071
TNFRSF8,1:12123360-12204264
RNU6-777P,1:12137938-12138041
RPL23AP89,1:12140307-12140603
MIR7846,1:12227000-12227095
TNFRSF1B,1:12227048-12269277
MIR4632,1:12251770-12251830
RPL10P17,1:12280784-12281166
VPS13D,1:12290087-12572099
SNORA59A,1:12567300-12567451
DHRS3,1:12627939-12678216
RNU6ATAC18P,1:12630000-12630100
MIR6730,1:12638985-12639051
AADACL4,1:12704104-12727087
AADACL3,1:12776113-12788727
C1orf158,1:12806148-12823847
PRAMEF12,1:12833881-12838049
PRAMEF1,1:12851546-12856777
LINC01784,1:12882549-12883086
PRAMEF11,1:12884463-12891264
PRAMEF30P,1:12898323-12901236
HNRNPCL1,1:12907230-12908573
PRAMEF2,1:12916941-12921764
PRAMEF4,1:12939033-12946025
PRAMEF10,1:12952727-12958101
PRAMEF7,1:12976467-12980300
RNU6-771P,1:12982374-12982479
PRAMEF29P,1:12985990-12988710
PRAMEF6,1:12998302-13007406
PRAMEF31P,1:13012804-13015781
PRAMEF18,1:13035499-13039011
PRAMEF34P,1:13161986-13167193
PRAMEF35P,1:13171843-13173157
HNRNPCL2,1:13182960-13184326
PRAMEF36P,1:13194518-13199727
PRAMEF25,1:13216202-13219583
PRAMEF5,1:13359818-13369057
PRAMEF32P,1:13378517-13381237
PRAMEF33,1:13409135-13414502
PRAMEF27,1:13421092-13428191
PRAMEF13,1:13447414-13452656
PRAMEF8,1:13607700-13611533
PRAMEF15,1:13641973-13648990
PRAMEF14,1:13668269-13673511
PRAMEF19,1:13694899-13698927
PRAMEF17,1:13716092-13719089
PRAMEF20,1:13736907-13747803
LRRC38,1:13801441-13840498
BRWD1P1,1:13881408-13882389
PDPN,1:13910252-13944452
RNA5SP41,1:13949679-13949779
PRDM2,1:14026683-14151574
RNU6-1265P,1:14450728-14450830
KAZN-AS1,1:14675450-14746469
KAZN,1:14925181-15444539
TBCAP2,1:15018433-15018896
TMEM51-AS1,1:15438311-15478960
TMEM51,1:15479062-15546974
C1orf195,1:15490688-15498120
MFFP1,1:15518253-15519621
ZBTB2P1,1:15552860-15553739
FHAD1,1:15563017-15724824
FHAD1-AS1,1:15653176-15670379
EFHD2,1:15736384-15756835
CTRC,1:15764939-15775737
CELA2A,1:15783227-15798586
CELA2B,1:15802599-15817890
CASP9,1:15817896-15851285
DNAJC16,1:15853343-15898228
SCARNA21B,1:15868661-15868799
AGMAT,1:15898194-15911546
CHCHD2P6,1:15931023-15931809
RNU7-179P,1:15934573-15934640
CD24P1,1:15936477-15941441
DDI2,1:15943953-15995539
RSC1A1,1:15986208-15988528
PLEKHM2,1:16010815-16061264
SLC25A34,1:16062753-16067887
SLC25A34-AS1,1:16066546-16076385
TMEM82,1:16068994-16074477
FBLIM1,1:16083133-16113084
RPL12P14,1:16119222-16119834
UQCRHL,1:16133657-16134194
RPS16P1,1:16154707-16155228
FLJ37453,1:16160710-16174642
SPEN,1:16174202-16266951
ZBTB17,1:16268364-16302596
SRARP,1:16330731-16335302
HSPB7,1:16340524-16346089
CLCNKA,1:16348531-16360545
LOC440568,1:16361005-16366526
CLCNKB,1:16370277-16383821
FAM131C,1:16384264-16400146
EPHA2,1:16450832-16482564
ARHGEF19,1:16524349-16539147
CPLANE2,1:16558187-16563678
MT1XP1,1:16567575-16567935
FBXO42,1:16573335-16678975
SZRD1,1:16693737-16724640
RPL22P3,1:16695588-16696046
SPATA21,1:16722172-16763919
NECAP2,1:16767219-16786573
LINC01772,1:16787443-16794976
CROCCP3,1:16793931-16819196
RNU1-1,1:16840617-16840780
LINC01783,1:16860386-16862147
RNU1-6P,1:16860576-16860719
TRG-CCC1-1,1:16872434-16872504
TRV-CAC11-1,1:16874160-16874232
PDE4DIPP8,1:16875146-16877725
LOC101056699,1:16879957-16880028
NBPF1,1:16888818-16940059
CROCCP2,1:16944751-16957401
MST1P2,1:16972069-16976915
RNU1-3,1:16993280-16993443
EIF1AXP1,1:17009586-17012744
ESPNP,1:17017713-17046652
TRV-CAC13-1,1:17052061-17052133
TRG-CCC5-1,1:17053780-17053850
RNU1-4,1:17067011-17067174
CROCCP4,1:17076730-17077459
MST1L,1:17081129-17090975
LOC102724562,1:17083556-17086552
PDE4DIPP9,1:17183206-17185779
MIR3675,1:17185444-17185516
TRV-CAC11-2,1:17186693-17186765
TRG-CCC1-2,1:17188416-17188486
LOC112267871,1:17198721-17200591
TRE-TTC3-1,1:17199078-17199149
RNU1-5P,1:17200203-17200346
TRN-GTT13-1,1:17201958-17202031
LOC105376805,1:17215033-17216161
TRN-GTT4-1,1:17216172-17216245
RNU1-2,1:17222475-17222638
CROCC,1:17248426-17299459
MFAP2,1:17300997-17308078
ATP13A2,1:17312453-17338423
SDHB,1:17345217-17380527
PADI2,1:17393256-17445946
LINC02783,1:17516284-17522882
PADI1,1:17531623-17572502
PADI3,1:17575593-17610728
MIR3972,1:17604384-17604470
PADI4,1:17634692-17690499
PADI6,1:17698691-17728195
RCC2,1:17733256-17766173
RCC2-AS1,1:17733257-17733878
ARHGEF10L,1:17866193-18024370
ACTL8,1:18081828-18153558
LINC01654,1:18392151-18400906
IGSF21,1:18434292-18704977
KLHDC7A,1:18807424-18812468
DYNLL1P3,1:18839502-18839889
PAX7,1:18957340-19075360
TAS1R2,1:19166093-19186154
ALDH4A1,1:19197924-19229049
MIR4695,1:19209696-19209769
MIR1290,1:19223565-19223642
IFFO2,1:19230774-19283170
UBR4,1:19401004-19536760
EMC1-AS1,1:19536880-19567198
EMC1,1:19542154-19578018
MRTO4,1:19578299-19586622
AKR7L,1:19592476-19600616
AKR7A3,1:19609067-19615264
LOC100506730,1:19619741-19622230
AKR7A2,1:19629202-19638640
RNU6-1099P,1:19631571-19631675
SLC66A1,1:19638820-19658922
CAPZB,1:19665269-19812033
RN7SL277P,1:19750878-19751093
RNU4-28P,1:19837087-19837227
LOC105378614,1:19918296-19923326
MICOS10-NBL1,1:19923473-19984945
MICOS10,1:19923473-19956314
RPS14P3,1:19934301-19935138
NBL1,1:19969723-19984945
HTR6,1:19991368-20007459
TMCO4,1:20008733-20126409
RNF186,1:20140522-20141776
OTUD3,1:20208888-20239438
PLA2G2E,1:20246502-20250110
RN7SL304P,1:20297462-20297762
PLA2G2A,1:20301924-20306927
LOC100419911,1:20365423-20365937
PLA2G5,1:20396687-20418404
PLA2G2D,1:20438432-20446029
PLA2G2F,1:20465816-20476874
LOC117779438,1:20480707-20487061
PLA2G2C,1:20489548-20513011
UBXN10,1:20512589-20522543
LINC01757,1:20569588-20571148
VWA5B1,1:20617368-20686011
LINC01141,1:20686294-20755287
CAMK2N1,1:20808884-20812703
MUL1,1:20825941-20834644
RPS4XP4,1:20852445-20853307
FAM43B,1:20879066-20881513
CDA,1:20915590-20945396
PINK1,1:20959951-20978004
MIR6084,1:20960172-20960281
PINK1-AS,1:20969150-20978686
DDOST,1:20978270-20987862
KIF17,1:20990507-21044500
SH2D5,1:21046224-21059196
HP1BP3,1:21066759-21113800
EIF4G3,1:21132785-21503390
RNU7-200P,1:21167734-21167795
MIR1256,1:21314807-21314925
RPS15AP6,1:21330004-21330457
HSPE1P27,1:21487968-21488574
ECE1,1:21543743-21671997
ECE1-AS1,1:21619783-21626362
PPP1R11P1,1:21724293-21725055
PDE4DIPP10,1:21737949-21738483
NBPF2P,1:21749601-21754453
HS6ST1P1,1:21754561-21758713
CROCCP5,1:21760813-21763319
NBPF3,1:21766630-21811393
PFN1P10,1:21785917-21786695
ALPL,1:21835477-21904903
RAP1GAP,1:21922714-21995850
USP48,1:22004791-22109642
LDLRAD2,1:22138758-22151718
HSPG2,1:22148737-22263803
RPL21P29,1:22234551-22235107
CELA3B,1:22303515-22315847
RN7SL386P,1:22313974-22314270
RNU6-1022P,1:22314309-22314412
CELA3A,1:22328150-22339035
RN7SL186P,1:22337143-22337439
RNU6-776P,1:22337478-22337581
LINC01635,1:22350487-22352541
LINC00339,1:22351684-22357717
CDC42,1:22379202-22427853
WNT4,1:22443806-22469590
MIR4418,1:22592732-22592793
ZBTB40,1:22778344-22857647
EPHA8,1:22889982-22930088
MIR6127,1:22959751-22959859
C1QA,1:22962956-22966171
C1QC,1:22970126-22974601
C1QB,1:22979729-22988130
EPHB2,1:23037331-23247993
MIR4684,1:23046010-23046091
MIR4253,1:23189652-23189719
LACTBL1,1:23279536-23299359
TEX46,1:23337327-23342345
KDM1A,1:23345961-23410182
MIR3115,1:23370798-23370865
LUZP1,1:23410523-23495349
RNU6-514P,1:23489197-23489303
RNU6-135P,1:23490446-23490546
HTR1D,1:23518388-23543995
RPL29P6,1:23571222-23571839
LINC01355,1:23607802-23612011
HNRNPR,1:23631181-23670777
ZNF436,1:23685941-23696329
ZNF436-AS1,1:23695464-23698332
TCEA3,1:23707402-23751241
ASAP3,1:23755056-23810672
E2F2,1:23832930-23857725
LOC101928163,1:23848422-23854911
ID3,1:23884417-23885992
MDS2,1:23953824-23967058
LOC729856,1:23997267-23997734
RPL11,1:24018269-24023325
ELOA,1:24069856-24088549
ELOA-AS1,1:24086872-24104787
PITHD1,1:24104908-24114722
LYPLA2,1:24117635-24122029
GALE,1:24122089-24127244
HMGCL,1:24128375-24151919
FUCA1,1:24171567-24194780
CNR2,1:24197005-24239852
BTBD6P1,1:24227539-24229498
MIR378F,1:24255560-24255637
H3P1,1:24275506-24275873
PNRC2,1:24286318-24289952
SRSF10,1:24290837-24306817
RPL36P5,1:24334324-24335044
MYOM3,1:24382531-24438625
IL22RA1,1:24446261-24469630
IFNLR1,1:24480658-24513779
LINC02800,1:24526730-24538180
GRHL3,1:24645847-24690972
STPG1,1:24683489-24741534
NIPAL3,1:24740014-24799473
RCAN3AS,1:24822744-24828872
RCAN3,1:24828834-24867530
NCMAP-DT,1:24865764-24882515
NCMAP,1:24882578-24935819
RPL26P8,1:24890088-24890462
SRRM1,1:24969793-24999772
CLIC4,1:25071938-25170812
RNU6-1208P,1:25104364-25104470
RUNX3,1:25226002-25291501
MIR6731,1:25245836-25245907
MIR4425,1:25349994-25350077
IFITM3P7,1:25451384-25451948
SYF2,1:25548767-25558993
RSRP1,1:25568740-25664745
RHD,1:25598977-25656936
SDHDP6,1:25619849-25621160
TMEM50A,1:25664825-25688852
RHCE,1:25688740-25747426
SDHDP7,1:25725186-25726495
MACO1,1:25757388-25826700
LDLRAP1,1:25870097-25895377
MAN1C1,1:25943282-26110941
SELENON,1:26126684-26144712
MTFR1L,1:26146445-26159429
LOC646471,1:26146445-26150097
AUNIP,1:26158397-26185948
PAQR7,1:26187975-26202199
STMN1,1:26210670-26233371
SNRPFP2,1:26213821-26214193
RPL39P7,1:26215408-26215795
MIR3917,1:26232853-26232945
PAFAH2,1:26286258-26324554
RNU6-110P,1:26290688-26290791
EXTL1,1:26348266-26362955
SLC30A2,1:26363743-26372609
TRIM63,1:26377792-26394121
PDIK1L,1:26437653-26452046
FAM110D,1:26485570-26490453
C1orf232,1:26490592-26495454
ZNF593,1:26496399-26497364
CNKSR1,1:26503982-26516375
CATSPER4,1:26517093-26529455
LOC100420494,1:26545377-26546025
ZPLD2P,1:26551811-26556331
CEP85,1:26560691-26605299
MRPS6P1,1:26589526-26589889
SH3BGRL3,1:26606577-26608013
UBXN11,1:26608773-26644756
CD52,1:26644449-26647014
CRYBG2,1:26648356-26680621
RPL34P4,1:26653132-26653533
ZNF683,1:26688125-26699285
LIN28A,1:26737308-26756219
DHDDS,1:26758812-26797797
RPL17P9,1:26781087-26781698
DHDDS-AS1,1:26789247-26794028
HMGN2,1:26798931-26803133
DPPA2P2,1:26845608-26846755
RPS6KA1,1:26856252-26901516
MIR1976,1:26881033-26881084
RN7SL679P,1:26919736-26920037
LOC101928728,1:27018401-27020622
ARID1A,1:27022506-27108595
PIGV,1:27113545-27127150
RN7SL165P,1:27141313-27141603
ZDHHC18,1:27153179-27184095
SFN,1:27189640-27190947
GPN2,1:27202623-27216774
GPATCH3,1:27216979-27226958
NR0B2,1:27237980-27240466
NUDC,1:27248234-27273362
KDF1,1:27276053-27286959
RPL12P13,1:27306571-27307514
RPL32P6,1:27310086-27310570
TRNP1,1:27320183-27327377
TENT5B,1:27331511-27339341
SLC9A1,1:27425300-27481616
RPL18AP5,1:27503202-27503821
CHCHD3P3,1:27527127-27528090
NPM1P39,1:27533405-27534366
SNRPEP7,1:27537686-27537972
WDTC1,1:27561123-27635127
TMEM222,1:27648654-27662891
ACTG1P20,1:27650365-27653016
RNU6-48P,1:27651710-27651815
SYTL1,1:27668513-27680423
MAP3K6,1:27681675-27693452
FCN3,1:27695601-27701343
CD164L2,1:27705666-27709823
GPR3,1:27719126-27722318
WASF2,1:27730734-27816678
AHDC1,1:27860756-27930655
FGR,1:27938575-27961696
LOC729973,1:27975890-27976451
LINC02574,1:27986839-27989233
IFI6,1:27992575-27998703
RNU6-949P,1:28002114-28002220
CHMP1AP1,1:28013320-28013951
RNU6-424P,1:28020242-28020346
FAM76A,1:28052472-28089627
RPEP3,1:28066441-28067343
STX12,1:28099730-28150954
RNU6-1245P,1:28151049-28151154
PPP1R8,1:28157293-28178187
SCARNA1,1:28160912-28161077
THEMIS2,1:28199055-28213186
RPA2,1:28218035-28241308
SMPDL3B,1:28261511-28285663
XKR8,1:28286484-28294604
EYA3,1:28296855-28415121
RN7SL559P,1:28358395-28358691
SPCS2P4,1:28421546-28422953
LOC100131223,1:28447345-28447978
RNU6-176P,1:28469248-28469352
RNU7-29P,1:28470667-28470725
PTAFR,1:28473677-28520367
DNAJC8,1:28526789-28559540
ATP5IF1,1:28562635-28564611
SESN2,1:28586029-28609002
MED18,1:28655551-28662476
PHACTR4,1:28696251-28826876
RNU6ATAC27P,1:28807874-28807992
SNHG3,1:28832455-28837404
RCC1,1:28832555-28865501
SNORA73A,1:28833877-28834083
SNORA73B,1:28835070-28835274
PRDX3P2,1:28852870-28853750
TRNAU1AP,1:28879597-28905057
SNHG12,1:28905050-28909495
SNORD99,1:28905255-28905334
SNORA61,1:28906276-28906405
SNORA44,1:28906893-28907024
SNORA16A,1:28907432-28907565
RAB42,1:28918777-28923178
TAF12,1:28929362-28969579
LINC01715,1:28969768-28975313
RNU11,1:28975112-28975246
GMEB1,1:28995296-29045865
YTHDF2,1:29063136-29096287
OPRD1,1:29138682-29197779
EPB41,1:29213612-29446553
RPL27P4,1:29308756-29309156
TMEM200B,1:29445941-29450415
SRSF4,1:29474255-29508412
MECR,1:29519169-29557446
PTPRU,1:29563034-29653312
LINC01756,1:29656132-29676626
LINC01648,1:30486799-30510459
MATN1,1:31184124-31196432
MATN1-AS1,1:31191619-31199593
LAPTM5,1:31205316-31230621
MIR4420,1:31212003-31212079
LINC01778,1:31297499-31307131
RN7SKP91,1:31316672-31316909
SDC3,1:31342313-31381605
RN7SL371P,1:31391316-31391582
PUM1,1:31404353-31538564
SNORD103A,1:31408536-31408623
SNORD103B,1:31421965-31422052
SNORD103C,1:31441010-31441084
SELENOWP1,1:31567436-31568485
RPL21P22,1:31580948-31581510
NKAIN1,1:31652592-31712734
SNRNP40,1:31732415-31769635
ZCCHC17,1:31769879-31837783
FABP3,1:31838100-31845923
SERINC2,1:31882624-31907525
LOC441880,1:31960438-31961820
RNU6-40P,1:31970420-31970525
LDC1P,1:31971836-31974167
LINC01226,1:31984036-31989846
TINAGL1,1:32042116-32053287
HCRTR1,1:32083290-32093214
PEF1,1:32095467-32110477
COL16A1,1:32117864-32169618
ADGRB2,1:32192718-32229941
MIR4254,1:32224261-32224336
SPOCD1,1:32256023-32281652
PTP4A2,1:32372022-32403969
KHDRBS1,1:32479469-32526451
TMEM39B,1:32537632-32568464
MIR5585,1:32552550-32552608
KPNA6,1:32573657-32642164
TXLNA,1:32645276-32663886
CCDC28B,1:32666196-32670988
IQCC,1:32671272-32674283
DCDC2B,1:32674690-32681793
TMEM234,1:32680078-32687954
EIF3I,1:32687185-32697205
MTMR9LP,1:32697261-32707311
FAM167B,1:32712823-32714457
LCK,1:32716866-32751766
HDAC1,1:32757684-32799227
MARCKSL1,1:32799440-32801834
FAM229A,1:32826871-32827844
TSSK3,1:32828140-32829913
BSDC1,1:32830234-32860042
GAPDHP20,1:32867500-32868784
LRRC37A12P,1:32890077-32892138
RN7SL122P,1:32923436-32923736
ZBTB8B,1:32930673-32962287
ZBTB8A,1:33005028-33071542
ZBTB8OS,1:33086421-33116533
RBBP4,1:33116809-33151812
SYNC,1:33145507-33168371
KIAA1522,1:33207431-33240571
YARS1,1:33240840-33282959
S100PBP,1:33283043-33324480
FNDC5,1:33327869-33338085
HPCA,1:33352092-33360247
TMEM54,1:33360196-33366990
RNF19B,1:33402050-33430410
RPL18AP4,1:33445508-33446126
LOC100419257,1:33452532-33453848
AK2,1:33473541-33502484
AZIN2,1:33546754-33589093
TRIM62,1:33611000-33647644
ZNF362,1:33722093-33766320
A3GALT2,1:33772367-33786699
PHC2,1:33789227-33896696
MIR3605,1:33797994-33798093
RN7SKP16,1:33802167-33802465
PHC2-AS1,1:33815953-33828846
TLR12P,1:33931850-33934576
ZSCAN20,1:33938246-33967243
LOC100422287,1:33977491-33978384
CSMD2,1:33979598-34631443
HSPD1P14,1:34304122-34305738
HMGB4,1:34326076-34330392
CSMD2-AS1,1:34334557-34351059
RNA5SP42,1:34578550-34578664
C1orf94,1:34632594-34684732
LOC100420336,1:34742460-34742965
MIR552,1:35135200-35135295
GJB5,1:35220648-35224113
GJB4,1:35225341-35227928
GJB3,1:35246815-35251965
GJA4,1:35258600-35261348
SMIM12,1:35315963-35325350
DLGAP3,1:35331037-35395251
GPR199P,1:35441300-35444307
TMEM35B,1:35447127-35450948
ZMYM6,1:35451766-35497546
RPL12P45,1:35519072-35524869
ZMYM1,1:35525387-35581460
EFCAB14P1,1:35587423-35588091
SFPQ,1:35641981-35658746
ZMYM4,1:35734310-35887659
RN7SL503P,1:35757797-35758099
RPL5P4,1:35816253-35817267
ZMYM4-AS1,1:35824423-35831678
RNY5P1,1:35893411-35893493
KIAA0319L,1:35899093-36023004
LOC100419802,1:35975678-35976942
NCDN,1:36023400-36032380
TFAP2E,1:36038915-36060929
PSMB2,1:36065142-36107127
